Ano de Publicação,Título,Autor,Idioma,Nível do Autor,Avaliação Média,Contagem de Avaliações,Gênero,Vendas Brutas,Receita do Editor,Preço de Venda,Ranking de Vendas,Editora,Unidades Vendidas,Categoria de Avaliação
1993,The Virgin Suicides,Jeffrey Eugenides,Inglês,Intermediário,3.83,159249,Ficção Científica,26904.06,16142.436,10.91,28,Penguin,2466,Baixa
2004,Dead to the World,Charlaine Harris,Inglês,Intermediário,4.13,199572,Ficção Científica,2376.0,0.0,0.99,29,Amazon,2400,Alta
1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Inglês,Intermediário,3.77,171599,Outro,9576.0,5745.6,3.99,29,Hachette,2400,Baixa
1856,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Inglês,Intermediário,3.64,158877,Ficção Científica,9308.67,0.0,3.99,30,Amazon,2333,Baixa
1961,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",Inglês,Intermediário,4.22,178432,Ficção Científica,4509.34,0.0,1.99,31,Amazon,2266,Alta
2010,The Way of Kings,Brandon Sanderson,Inglês,Famoso,4.64,144822,Ficção Científica,2178.0,0.0,0.99,32,Amazon,2200,Alta
2003,Club Dead,Charlaine Harris,Inglês,Intermediário,4.03,181323,Ficção Científica,13178.0,7906.8,5.99,32,HarperCollins,2200,Média
2006,It's Kind of a Funny Story,Ned Vizzini,Inglês,Intermediário,4.14,161001,Outro,2045.34,1227.204,0.99,34,HarperCollins,2066,Alta
2015,After You,Jojo Moyes,Inglês,Intermediário,3.7,99342,Ficção Científica,1964.16,0.0,0.99,36,Amazon,1984,Baixa
2011,The Language of Flowers,Vanessa Diffenbaugh,Inglês,Intermediário,4.07,140076,Ficção Científica,1964.16,1178.496,0.99,36,Amazon,1984,Média
1986,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",Inglês,Intermediário,4.25,135979,Ficção Científica,1949.31,0.0,0.99,37,Amazon,1969,Alta
2005,The Angel Experiment,James Patterson,Inglês,Intermediário,4.08,172302,Ficção Científica,1949.31,0.0,0.99,37,Amazon,1969,Média
1995,High Fidelity,Nick Hornby,Inglês,Intermediário,3.94,134849,Ficção Científica,20309.55,12185.73,10.65,41,Random,1907,Média
2003,The Guardian,Nicholas Sparks,Inglês,Intermediário,4.14,136427,Ficção Científica,1873.08,0.0,0.99,42,Amazon,1892,Alta
2003,Oryx and Crake,Margaret Atwood,Inglês,Intermediário,4.0,151500,Ficção Científica,7485.24,0.0,3.99,43,Amazon,1876,Média
1998,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,Inglês,Intermediário,3.52,113915,Ficção Científica,3703.39,2222.034,1.99,44,Amazon,1861,Baixa
2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,Inglês,Intermediário,4.0,134177,Ficção Científica,11057.54,6634.524,5.99,45,HarperCollins,1846,Média
1999,Timeline,Michael Crichton,Inglês,Intermediário,3.83,148563,Ficção Científica,12791.7,7675.02,6.99,46,Amazon,1830,Baixa
1759,Candide,Voltaire,Inglês,Intermediário,3.76,151471,Ficção Científica,8982.0,0.0,4.99,48,Amazon,1800,Baixa
1975,Tuck Everlasting,Natalie Babbitt,Inglês,Intermediário,3.85,174280,Outro,3582.0,2149.2,1.99,48,Amazon,1800,Baixa
1983,Christine,"Stephen King, Marie Milpois",Francês,Intermediário,3.72,151160,Outro,1766.16,1059.696,0.99,49,Amazon,1784,Baixa
1960,Are You My Mother?,P.D. Eastman,Inglês,Intermediário,4.16,174204,Ficção Científica,10596.31,6357.786,5.99,50,Penguin,1769,Alta
1950,The Story of Art,E.H. Gombrich,Inglês,Intermediário,3.83,164708,Ficção Científica,15058.27,9034.962,8.59,51,Hachette,1753,Baixa
2013,Scarlet,Marissa Meyer,Inglês,Intermediário,4.3,193766,Ficção Científica,1720.62,1032.372,0.99,52,Amazon,1738,Alta
1997,"Rich Dad , Poor Dad",Robert T. Kiyosaki,Inglês,Intermediário,3.95,153764,Ficção Científica,1705.77,1023.462,0.99,53,Random,1723,Média
2011,Silence ,Becca Fitzpatrick,Inglês,Intermediário,4.16,190722,Ficção Científica,8517.93,0.0,4.99,54,Amazon,1707,Alta
2009,The Magicians,Lev Grossman,Inglês,Iniciante,3.47,147908,Ficção Científica,1675.08,1005.048,0.99,55,Macmillan,1692,Baixa
2004,ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),"Tsugumi Ohba, Takeshi Obata",Inglês,Famoso,4.42,139501,Ficção Científica,6687.24,0.0,3.99,56,Amazon,1676,Alta
2003,A Great and Terrible Beauty,Libba Bray,Inglês,Intermediário,3.79,173613,Ficção Científica,4966.39,2979.834,2.99,57,Penguin,1661,Baixa
2002,Everything Is Illuminated,Jonathan Safran Foer,Inglês,Intermediário,3.9,131492,Ficção Científica,1629.54,977.724,0.99,58,Amazon,1646,Baixa
1986,The Bourne Supremacy,Robert Ludlum,Inglês,Intermediário,4.09,142168,Ficção Científica,17783.3,10669.98,10.91,59,Penguin,1630,Média
2012,Easy,Tammara Webber,Inglês,Intermediário,4.11,133937,Ficção Científica,1613.7,0.0,0.99,59,Amazon,1630,Média
1849,David Copperfield,"Charles Dickens, Jeremy Tambling",Inglês,Intermediário,3.96,150512,Ficção Científica,18394.85,11036.91,11.39,60,Hachette,1615,Média
2007,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",Inglês,Intermediário,4.11,160607,Ficção Científica,10384.0,6230.4,6.49,61,Random,1600,Média
1967,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",Inglês,Intermediário,4.32,131389,Ficção Científica,6320.16,0.0,3.99,62,Amazon,1584,Alta
1968,A Wizard of Earthsea,Ursula K. Le Guin,Inglês,Intermediário,3.99,155042,Ficção Científica,4707.0,0.0,3.0,63,Amazon,1569,Média
2000,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",Inglês,Intermediário,4.0,154476,Ficção Científica,1522.62,0.0,0.99,65,Amazon,1538,Média
1959,A Separate Peace,John Knowles,Inglês,Intermediário,3.56,155901,Ficção Científica,5924.47,0.0,3.89,66,Amazon,1523,Baixa
1995,The Rainmaker,John Grisham,Inglês,Intermediário,3.91,137412,Ficção Científica,12040.93,0.0,7.99,67,Amazon,1507,Baixa
1605,Don Quijote de La Mancha,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",Inglês,Intermediário,3.85,134931,Ficção Científica,13413.08,8047.848,8.99,68,Hachette,1492,Baixa
1995,Assassin's Apprentice,Robin Hobb,Inglês,Intermediário,4.14,132777,Ficção Científica,2907.39,0.0,1.99,70,Amazon,1461,Alta
1980,The Restaurant at the End of the Universe,Douglas Adams,Inglês,Intermediário,4.22,153838,Ficção Científica,11553.54,6932.124,7.99,71,Penguin,1446,Alta
2010,Torment,Lauren Kate,Inglês,Intermediário,3.89,174393,Ficção Científica,5705.7,0.0,3.99,72,Amazon,1430,Baixa
1901,The Tale of Peter Rabbit,Beatrix Potter,Inglês,Intermediário,4.17,162373,Ficção Científica,9890.85,5934.51,6.99,73,Penguin,1415,Alta
1953,The Silver Chair,"C.S. Lewis, Pauline Baynes",Inglês,Intermediário,3.95,170453,Ficção Científica,5245.36,3147.216,3.79,75,Hachette,1384,Média
2008,The Hero of Ages,Brandon Sanderson,Inglês,Famoso,4.46,143622,Outro,5826.64,3495.984,4.21,75,Amazon,1384,Alta
1993,"Girl, Interrupted",Susanna Kaysen,Inglês,Intermediário,3.9,145161,Ficção Científica,2724.31,1634.586,1.99,76,Hachette,1369,Baixa
2007,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,Outro,Intermediário,3.85,127096,Ficção Científica,5462.31,3277.386,3.99,76,Hachette,1369,Baixa
1970,Jonathan Livingston Seagull,"Richard Bach, Russell Munson",Inglês,Intermediário,3.8,133728,Ficção Científica,6751.47,0.0,4.99,77,Amazon,1353,Baixa
2014,City of Heavenly Fire,Cassandra Clare,Inglês,Famoso,4.48,177796,Ficção Científica,6676.62,0.0,4.99,78,Amazon,1338,Alta
1986,Love You Forever,"Robert Munsch, Sheila McGraw",Inglês,Intermediário,4.34,159703,Ficção Científica,1309.77,785.862,0.99,79,Amazon,1323,Alta
2006,Cell,Stephen King,Inglês,Intermediário,3.64,144591,Ficção Científica,5933.78,3560.268,4.54,80,HarperCollins,1307,Baixa
2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Inglês,Intermediário,4.32,113565,Ficção Científica,8482.43,5089.458,6.49,80,Hachette,1307,Alta
1977,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",Inglês,Intermediário,3.87,134106,Ficção Científica,6447.08,3868.248,4.99,81,Random,1292,Baixa
1987,The Drawing of the Three,Stephen King,Inglês,Intermediário,4.23,139052,Outro,2539.24,1523.544,1.99,82,HarperCollins,1276,Alta
2008,The Forgotten Garden,Kate Morton,Inglês,Intermediário,4.12,138377,Ficção Científica,4907.7,0.0,3.99,85,Amazon,1230,Média
1925,Der ProzeÃŸ,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",Inglês,Intermediário,3.98,131856,Ficção Científica,1202.85,0.0,0.99,86,Amazon,1215,Média
2002,This Lullaby,Sarah Dessen,Inglês,Intermediário,4.03,151829,Ficção Científica,2417.85,1450.71,1.99,86,HarperCollins,1215,Média
2000,Plain Truth,Jodi Picoult,Inglês,Intermediário,3.97,128406,Ficção Científica,1188.0,0.0,0.99,87,Amazon,1200,Média
2010,Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,Inglês,Intermediário,3.7,127186,Ficção Científica,2388.0,0.0,1.99,87,Amazon,1200,Baixa
1902,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",Inglês,Intermediário,4.09,154517,Ficção Científica,2356.16,1413.696,1.99,88,Macmillan,1184,Média
2011,"Thinking, Fast and Slow",Daniel Kahneman,Inglês,Intermediário,4.08,136950,Ficção Científica,1157.31,694.386,0.99,89,Amazon,1169,Média
1982,The Mists of Avalon,Marion Zimmer Bradley,Inglês,Intermediário,4.12,157736,Ficção Científica,1157.31,694.386,0.99,89,Amazon,1169,Média
1970,"Are You There God? It's Me, Margaret",Judy Blume,Inglês,Intermediário,3.89,151789,Ficção Científica,1111.77,0.0,0.99,92,Amazon,1123,Baixa
2002,Nights in Rodanthe,Nicholas Sparks,Inglês,Intermediário,3.82,129807,Ficção Científica,5603.77,3362.262,4.99,92,Amazon,1123,Baixa
2014,Mr. Mercedes,Stephen King,Inglês,Intermediário,3.92,125847,Ficção Científica,2202.93,1321.758,1.99,93,Macmillan,1107,Média
2007,All Together Dead,Charlaine Harris,Inglês,Intermediário,4.05,162689,Ficção Científica,6983.24,4189.944,6.49,95,Random,1076,Média
1997,Midwives,Chris Bohjalian,Inglês,Intermediário,3.97,133155,Ficção Científica,6885.89,4131.534,6.49,96,Random,1061,Média
1985,The Polar Express,Chris Van Allsburg,Inglês,Intermediário,4.29,168001,Outro,1035.54,621.324,0.99,97,Amazon,1046,Alta
1989,The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",Inglês,Intermediário,4.29,141945,Ficção Científica,1019.7,0.0,0.99,98,Amazon,1030,Alta
1987,Patriot Games,Tom Clancy,Inglês,Intermediário,4.11,141674,Ficção Científica,6079.85,0.0,5.99,99,Amazon,1015,Média
1998,Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",Inglês,Intermediário,3.69,111856,Ficção Científica,6932.45,4159.47,6.83,99,Penguin,1015,Baixa
2013,"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",Inglês,Intermediário,3.94,135635,Ficção Científica,985.05,0.0,0.99,101,Amazon,995,Média
2005,Dead as a Doornail ,Charlaine Harris,Inglês,Intermediário,4.01,169560,Ficção Científica,5068.8,3041.28,5.12,102,Penguin,990,Média
2011,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,Inglês,Intermediário,4.01,176433,Ficção Científica,2195.2,1317.12,2.24,104,Amazon,980,Média
1959,Starship Troopers,Robert A. Heinlein,Inglês,Intermediário,3.99,136886,Ficção Científica,7312.5,4387.5,7.5,105,Hachette,975,Média
2011,I've Got Your Number,Sophie Kinsella,Inglês,Intermediário,3.93,144533,Ficção Científica,960.3,0.0,0.99,106,Amazon,970,Média
1991,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",Inglês,Intermediário,3.88,109692,Ficção Científica,10224.0,6134.4,10.65,108,Penguin,960,Baixa
1950,The Martian Chronicles,Ray Bradbury,Inglês,Intermediário,4.12,143236,Ficção Científica,1880.55,0.0,1.99,111,Amazon,945,Média
2010,A Visit From the Goon Squad,Jennifer Egan,Inglês,Intermediário,3.64,120126,Ficção Científica,4690.6,2814.36,4.99,112,Macmillan,940,Baixa
1880,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Inglês,Intermediário,3.97,144497,Ficção Científica,3730.65,2238.39,3.99,113,Penguin,935,Média
2002,Prey,Michael Crichton,Outro,Intermediário,3.72,131352,Ficção Científica,1850.7,0.0,1.99,114,Amazon,930,Baixa
1956,The Last Battle,C.S. Lewis,Inglês,Intermediário,4.02,158701,Ficção Científica,5980.0,3588.0,6.5,116,Amazon,920,Média
2007,World Without End,Ken Follett,Inglês,Intermediário,4.23,128715,Ficção Científica,905.85,543.51,0.99,117,Random,915,Alta
2008,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",Inglês,Intermediário,3.9,180961,Ficção Científica,7759.2,4655.52,8.48,117,Amazon,915,Baixa
2012,Slammed,Colleen Hoover,Inglês,Intermediário,4.29,153882,Ficção Científica,900.9,0.0,0.99,118,Amazon,910,Alta
2007,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,Inglês,Intermediário,3.84,150003,Ficção Científica,895.95,537.57,0.99,119,Amazon,905,Baixa
1390,Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",Inglês,Iniciante,3.48,148480,Ficção Científica,891.0,0.0,0.99,120,Amazon,900,Baixa
2006,Baby Proof,Emily Giffin,Inglês,Intermediário,3.71,124371,Outro,5841.0,3504.6,6.49,120,Macmillan,900,Baixa
2011,Inheritance,Christopher Paolini,Inglês,Intermediário,4.08,146905,Outro,10731.05,6438.63,11.99,121,Random,895,Média
2009,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",Inglês,Intermediário,3.89,125195,Ficção Científica,2661.1,0.0,2.99,122,Amazon,890,Baixa
1852,Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,Inglês,Intermediário,3.83,137858,Ficção Científica,1771.1,1062.66,1.99,122,HarperCollins,890,Baixa
1909,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",Inglês,Intermediário,3.97,141110,Ficção Científica,3531.15,0.0,3.99,123,Amazon,885,Média
2006,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,Inglês,Intermediário,4.02,163054,Ficção Científica,6525.0,3915.0,7.5,126,Simon,870,Média
1995,Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",Inglês,Intermediário,4.08,98738,Ficção Científica,3451.35,0.0,3.99,127,Amazon,865,Média
2010,Freedom,Jonathan Franzen,Inglês,Intermediário,3.73,119213,Ficção Científica,6871.4,4122.84,7.99,128,Random,860,Baixa
2011,Crossed,Ally Condie,Inglês,Intermediário,3.52,100886,Ficção Científica,841.5,504.9,0.99,130,Amazon,850,Baixa
2006,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,Inglês,Intermediário,3.82,150222,Ficção Científica,10131.55,6078.93,11.99,131,Hachette,845,Baixa
2008,The White Tiger,Aravind Adiga,Inglês,Intermediário,3.71,114531,Ficção Científica,6711.6,4026.96,7.99,132,Random,840,Baixa
2001,The Corrections,Jonathan Franzen,Inglês,Intermediário,3.78,117657,Ficção Científica,816.75,0.0,0.99,135,Amazon,825,Baixa
1995,Dreams from My Father,Barack Obama,Inglês,Intermediário,3.81,128961,Outro,1641.75,985.05,1.99,135,HarperCollins,825,Baixa
1980,Congo,Michael Crichton,Inglês,Intermediário,3.55,129811,Outro,5696.85,3418.11,6.99,137,Random,815,Baixa
1972,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",Inglês,Intermediário,4.22,146073,Ficção Científica,2421.9,0.0,2.99,138,Amazon,810,Alta
1999,Interpreter of Maladies,Jhumpa Lahiri,Inglês,Intermediário,4.12,110651,Ficção Científica,8573.25,5143.95,10.65,139,Penguin,805,Média
1980,A People's History of the United States: 1492 to Present ,Howard Zinn,Inglês,Intermediário,4.07,137372,Ficção Científica,3192.0,0.0,3.99,140,Amazon,800,Média
1958,Breakfast at Tiffany's,Truman Capote,Inglês,Intermediário,3.89,129778,Ficção Científica,792.0,475.2,0.99,140,Amazon,800,Baixa
2010,The Passage,Justin Cronin,Inglês,Intermediário,4.04,126993,Ficção Científica,3172.05,0.0,3.99,141,Amazon,795,Média
2005,Anansi Boys,Neil Gaiman,Inglês,Intermediário,4.0,137639,Outro,1572.1,943.26,1.99,142,Amazon,790,Média
2009,Along for the Ride,Sarah Dessen,Inglês,Intermediário,4.08,151721,Ficção Científica,9412.15,5647.29,11.99,143,Penguin,785,Média
2014,Everything I Never Told You,Celeste Ng,Inglês,Intermediário,3.78,108703,Ficção Científica,3112.2,0.0,3.99,144,Amazon,780,Baixa
1982,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",Inglês,Intermediário,4.2,119930,Ficção Científica,8269.25,4961.55,10.67,145,Simon,775,Alta
1979,The Dead Zone,Stephen King,Inglês,Intermediário,3.9,132723,Ficção Científica,1512.4,907.44,1.99,148,HarperCollins,760,Baixa
1920,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",Inglês,Intermediário,3.98,135514,Ficção Científica,3012.45,0.0,3.99,149,Amazon,755,Média
1934,Murder in the Calais Coach,Agatha Christie,Inglês,Intermediário,4.16,138444,Ficção Científica,3742.5,0.0,4.99,150,Amazon,750,Alta
2013,Americanah,Chimamanda Ngozi Adichie,Inglês,Intermediário,4.26,113252,Ficção Científica,2992.5,0.0,3.99,150,Amazon,750,Alta
2001,Suzanne's Diary for Nicholas,James Patterson,Inglês,Intermediário,4.16,121398,Ficção Científica,3717.55,2230.53,4.99,151,Random,745,Alta
1980,Firestarter,Stephen King,Inglês,Intermediário,3.85,142213,Ficção Científica,2952.6,1771.56,3.99,152,Macmillan,740,Baixa
2013,Entwined with You,Sylvia Day,Inglês,Intermediário,4.19,141641,Ficção Científica,727.65,0.0,0.99,153,Amazon,735,Alta
2009,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,Inglês,Intermediário,4.27,109642,Ficção Científica,3642.7,0.0,4.99,154,Amazon,730,Alta
2014,The Storied Life of A.J. Fikry,Gabrielle Zevin,Inglês,Intermediário,3.98,115393,Ficção Científica,5444.75,3266.85,7.51,155,Random,725,Média
1939,Mad About Madeline,Ludwig Bemelmans,Inglês,Intermediário,4.22,156726,Ficção Científica,712.8,0.0,0.99,156,Amazon,720,Alta
1937,Think and Grow Rich,Napoleon Hill,Inglês,Intermediário,4.17,87445,Ficção Científica,702.9,0.0,0.99,158,Amazon,710,Alta
1932,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",Inglês,Intermediário,4.16,165127,Ficção Científica,697.95,418.77,0.99,159,Amazon,705,Alta
2004,Jonathan Strange & Mr Norrell,Susanna Clarke,Inglês,Intermediário,3.8,133683,Ficção Científica,5593.0,3355.8,7.99,160,Hachette,700,Baixa
2001,A Bend in the Road,Nicholas Sparks,Inglês,Intermediário,4.02,116800,Ficção Científica,1353.2,811.92,1.99,164,HarperCollins,680,Média
2013,The House of Hades,Rick Riordan,Inglês,Famoso,4.54,159774,Outro,668.25,400.95,0.99,165,Amazon,675,Alta
2008,Gone,Michael  Grant,Inglês,Intermediário,3.85,144606,Ficção Científica,3678.3,2206.98,5.49,166,Amazon,670,Baixa
2003,The Wedding,Nicholas Sparks,Inglês,Intermediário,3.98,118045,Ficção Científica,658.35,395.01,0.99,167,Amazon,665,Média
2005,1776,David McCullough,Inglês,Intermediário,4.06,130293,Ficção Científica,7814.4,4688.64,11.84,168,Random,660,Média
2003,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,Inglês,Intermediário,3.98,112167,Ficção Científica,648.45,0.0,0.99,169,Amazon,655,Média
2012,Beautiful Ruins,Jess Walter,Inglês,Intermediário,3.67,116053,Ficção Científica,9818.45,5891.07,14.99,169,Random,655,Baixa
2006,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,Inglês,Intermediário,3.69,110873,Ficção Científica,3243.5,0.0,4.99,170,Amazon,650,Baixa
1999,On Writing: A Memoir of the Craft,Stephen King,Inglês,Intermediário,4.31,131481,Ficção Científica,1943.5,0.0,2.99,170,Amazon,650,Alta
2008,Firefly Lane,Kristin Hannah,Inglês,Intermediário,4.04,121966,Ficção Científica,3218.55,0.0,4.99,171,Amazon,645,Média
1987,Sphere,Michael Crichton,Inglês,Intermediário,3.77,128244,Ficção Científica,4473.6,2684.16,6.99,172,Random,640,Baixa
2008,Love the One You're With,Emily Giffin,Inglês,Intermediário,3.7,124812,Ficção Científica,5663.7,3398.22,8.99,174,Simon,630,Baixa
2014,The Silkworm,"Robert Galbraith, J.K. Rowling",Inglês,Intermediário,4.03,120008,Ficção Científica,608.85,0.0,0.99,177,Amazon,615,Média
1985,The Vampire Lestat,Anne Rice,Inglês,Intermediário,4.05,141299,Ficção Científica,603.9,362.34,0.99,178,Amazon,610,Média
2011,State of Wonder,Ann Patchett,Inglês,Intermediário,3.85,124837,Ficção Científica,1210.0,0.0,2.0,179,Amazon,605,Baixa
2008,The Silver Linings Playbook,Matthew Quick,Inglês,Intermediário,4.0,110939,Ficção Científica,594.0,0.0,0.99,180,Amazon,600,Média
1869,Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",Inglês,Intermediário,3.86,121112,Ficção Científica,3540.25,0.0,5.95,181,Amazon,595,Baixa
2005,The Constant Princess,Philippa Gregory,Inglês,Intermediário,3.88,124786,Ficção Científica,3564.05,2138.43,5.99,181,Penguin,595,Baixa
1925,Mrs Dalloway,"Virginia Woolf, Maureen Howard",Inglês,Intermediário,3.78,136327,Ficção Científica,1174.1,704.46,1.99,182,Amazon,590,Baixa
2009,HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,"Jonas Jonasson, Rod Bradbury",Inglês,Intermediário,3.81,92275,Ficção Científica,5200.65,3120.39,8.89,183,Macmillan,585,Baixa
1998,Bag of Bones,Stephen King,Inglês,Intermediário,3.87,131004,Ficção Científica,569.25,0.0,0.99,185,Amazon,575,Baixa
1985,The Cider House Rules,John Irving,Inglês,Intermediário,4.1,124876,Ficção Científica,1134.3,0.0,1.99,186,Amazon,570,Média
