Idade,Sexo,Raça,Estado civil,Educação,Emprego,Salario,Quantos livros você leu nos últimos 12 meses?,Leu algum livro físico nos últimos 12 meses?,Leu algum audiolivro nos últimos 12 meses?,Leu algum e-book nos últimos 12 meses?,"No último livro que você leu, você…",Você costuma ler notícias ou jornais diariamente?,Você costuma ler revistas?,Categoria de Idade,Frequência de Leitura
47,Feminino,Preta,Casado,Ensino superior completo,Desempregado,"$100,000 - $150,000",50,Sim,Não,Sim,Pegou numa biblioteca,Sim,Sim,Adulto,Alta
32,Feminino,Preta,Outros,Pós-graduação,Empregado (Integral),"$50,000 - $75,000",50,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
17,Masculino,Preta,Solteiro,Ensino médio incompleto,Empregado (Meio Período),"$10,000 - $20,000",50,Sim,Não,Sim,Pegou numa biblioteca,Não,Não,Adolescente,Alta
90,Feminino,Branca,Viúvo,Pós-graduação,Aposentado,"$30,000 - $40,000",50,Sim,Não,Não,Comprou o livro,Não,Sim,Idoso,Alta
84,Feminino,Branca,Casado,Pós-graduação,Aposentado,Não Informado,50,Sim,Não,Sim,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
83,Feminino,Branca,Viúvo,Ensino superior completo,Aposentado,"$10,000 - $20,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
80,Feminino,Branca,Viúvo,Ensino médio completo,Empregado (Integral),"$10,000 - $20,000",50,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
80,Feminino,Branca,Casado,Pós-graduação,Aposentado,"$100,000 - $150,000",50,Sim,Sim,Sim,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
78,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$50,000 - $75,000",50,Sim,Não,Não,Comprou o livro,Não,Sim,Idoso,Alta
78,Feminino,Branca,Viúvo,Pós-graduação,Aposentado,"$10,000 - $20,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
78,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$30,000 - $40,000",50,Sim,Não,Não,Comprou o livro,Não,Sim,Idoso,Alta
77,Masculino,Branca,Casado,Pós-graduação,Aposentado,"$10,000 - $20,000",50,Sim,Sim,Não,Comprou o livro,Sim,Sim,Idoso,Alta
77,Feminino,Branca,Viúvo,Ensino médio completo,Aposentado,"$40,000 - $50,000",50,Sim,Não,Sim,Pegou numa biblioteca,Sim,Não,Idoso,Alta
76,Feminino,Branca,Viúvo,Ensino superior completo,Aposentado,"$100,000 a $150,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
75,Feminino,Branca,Viúvo,Pós-graduação,Empregado (Meio Período),"$50,000 - $75,000",50,Sim,Sim,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
74,Feminino,Branca,Casado,Ensino superior completo,Aposentado,"$40,000 - $50,000",50,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Idoso,Alta
72,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$30,000 - $40,000",50,Sim,Sim,Não,Comprou o livro,Sim,Sim,Idoso,Alta
70,Masculino,Branca,Casado,Ensino superior completo,Aposentado,"$75,000 - $100,000",50,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
70,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$40,000 - $50,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
70,Feminino,Branca,Casado,Ensino superior completo,Aposentado,"$10,000 - $20,000",50,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Idoso,Alta
69,Masculino,Branca,Casado,Ensino técnico,Empregado (Meio Período),"$50,000 - $75,000",50,Sim,Não,Não,Comprou o livro,Não,Sim,Idoso,Alta
68,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$50,000 - $75,000",50,Sim,Não,Não,Pegou numa biblioteca,Sim,Não,Idoso,Alta
68,Masculino,Branca,Casado,Ensino superior completo,Empregado (Meio Período),"$50,000 - $75,000",50,Sim,Não,Sim,Comprou o livro,Não,Sim,Idoso,Alta
66,Feminino,Branca,Solteiro,Pós-graduação,Aposentado,"$30,000 - $40,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Idoso,Alta
66,Feminino,Branca,Não Informado,Pós-graduação,Aposentado,Não Informado,50,Sim,Não,Não,Comprou o livro,Sim,Não,Idoso,Alta
66,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$75,000 - $100,000",50,Sim,Não,Sim,Pegou numa biblioteca,Sim,Não,Idoso,Alta
66,Masculino,Branca,Casado,Ensino superior completo,Aposentado,"$100,000 - $150,000",50,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Idoso,Alta
65,Masculino,Branca,Casado,Ensino médio completo,Aposentado,"$100,000 - $150,000",50,Sim,Não,Não,Pegou de outra forma,Sim,Sim,Idoso,Alta
65,Masculino,Branca,Casado,Ensino superior completo,Aposentado,"$30,000 - $40,000",50,Sim,Não,Não,Pegou numa biblioteca,Não,Não,Idoso,Alta
65,Masculino,Branca,Casado,Ensino médio completo,Aposentado,"$50,000 - $75,000",50,Sim,Não,Sim,Pegou numa biblioteca,Não,Sim,Idoso,Alta
65,Masculino,Branca,Casado,Pós-graduação,Aposentado,"$75,000 - $100,000",50,Sim,Não,Sim,Pegou emprestado de alguém,Sim,Sim,Idoso,Alta
64,Masculino,Branca,Casado,Pós-graduação,Aposentado,"$100,000 - $150,000",50,Sim,Não,Sim,Comprou o livro,Sim,Não,Idoso,Alta
64,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$50,000 - $75,000",50,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Idoso,Alta
62,Feminino,Branca,Viúvo,Não Informado,Empregado (Integral),"$100,000 a $150,000",50,Não Informado,Não,Não,Comprou o livro,Sim,Não,Idoso,Alta
62,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),Não Informado,50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Idoso,Alta
60,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$75,000 - $100,000",50,Sim,Não,Sim,Pegou emprestado de alguém,Sim,Não,Idoso,Alta
60,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Idoso,Alta
60,Feminino,Branca,Viúvo,Ensino médio incompleto,Desempregado,"$10,000 - $20,000",50,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Idoso,Alta
59,Feminino,Branca,Casado,Ensino técnico,Empregado (Integral),"$50,000 - $75,000",50,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
59,Feminino,Branca,Casado,Ensino médio completo,Aposentado,"$40,000 - $50,000",50,Sim,Não,Não,Comprou o livro,Não,Sim,Adulto,Alta
59,Masculino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",50,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
58,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$40,000 - $50,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
58,Feminino,Branca,Casado,Ensino médio completo,Desabilitado,"$100,000 - $150,000",50,Sim,Sim,Não,Pegou de outra forma,Sim,Sim,Adulto,Alta
58,Masculino,Branca,Casado,Pós-graduação,Aposentado,"$100,000 - $150,000",50,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
57,Feminino,Branca,Casado,Ensino superior completo,Empregado (Meio Período),Não Informado,50,Sim,Não,Sim,Pegou numa biblioteca,Não,Sim,Adulto,Alta
55,Feminino,Branca,Casado,Pós-graduação,Empregado (Integral),Não Informado,50,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
55,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Integral),"$40,000 - $50,000",50,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
55,Feminino,Branca,Divorciado,Pós-graduação,Aposentado,"$50,000 - $75,000",50,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
54,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$100,000 - $150,000",50,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
53,Feminino,Branca,Solteiro,Ensino médio completo,Desabilitado,"Menos que $10,000",50,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
53,Feminino,Branca,Casado,Pós-graduação,Desempregado,"$100,000 - $150,000",50,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
53,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Integral),"$40,000 - $50,000",50,Sim,Sim,Sim,Comprou o livro,Não,Sim,Adulto,Alta
53,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
53,Feminino,Branca,Casado,Ensino médio completo,Desempregado,"$100,000 - $150,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
52,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),Não Informado,50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
52,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$40,000 - $50,000",50,Sim,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
51,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$30,000 - $40,000",50,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
51,Feminino,Branca,Divorciado,Ensino superior completo,Empregado (Integral),Não Informado,50,Sim,Não,Não,Pegou emprestado de alguém,Não,Sim,Adulto,Alta
50,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",50,Não,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
50,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$50,000 - $75,000",50,Sim,Não,Não,Pegou numa biblioteca,Sim,Sim,Adulto,Alta
50,Masculino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$100,000 - $150,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
49,Feminino,Branca,Casado,Ensino superior completo,Empregado (Integral),"$30,000 - $40,000",50,Não,Não,Sim,Comprou o livro,Não,Sim,Adulto,Alta
48,Feminino,Branca,Casado,Pós-graduação,Desempregado,Não Informado,50,Sim,Não,Não,Pegou numa biblioteca,Sim,Não,Adulto,Alta
48,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),Não Informado,50,Sim,Sim,Sim,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
47,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$75,000 - $100,000",50,Sim,Não,Sim,Pegou emprestado de alguém,Não,Sim,Adulto,Alta
46,Feminino,Branca,Solteiro,Ensino superior completo,Desempregado,"$10,000 - $20,000",50,Sim,Sim,Não,Pegou numa biblioteca,Sim,Não,Adulto,Alta
45,Masculino,Branca,Divorciado,Ensino superior completo,Empregado (Integral),"$75,000 - $100,000",50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
45,Masculino,Branca,Casado,Ensino médio completo,Aposentado,"$50,000 - $75,000",50,Sim,Sim,Não,Pegou numa biblioteca,Sim,Não,Adulto,Alta
45,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",50,Sim,Sim,Sim,Comprou o livro,Sim,Não,Adulto,Alta
44,Feminino,Branca,Casado,Ensino médio completo,Desempregado,"$50,000 - $75,000",50,Sim,Não,Sim,Pegou de outra forma,Não,Não,Adulto,Alta
44,Feminino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$10,000 - $20,000",50,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
42,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",50,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
42,Feminino,Branca,Solteiro,Ensino superior completo,Autônomo,"$100,000 - $150,000",50,Sim,Não,Sim,Comprou o livro,Sim,Não,Adulto,Alta
41,Feminino,Branca,Casado,Ensino médio completo,Desabilitado,"$10,000 - $20,000",50,Sim,Não,Não,Comprou o livro,Não,Não,Adulto,Alta
41,Feminino,Branca,Solteiro,Pós-graduação,Desempregado,"Menos que $10,000",50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
38,Masculino,Branca,Outros,Ensino médio completo,Desempregado,"$75,000 - $100,000",50,Sim,Não,Não,Pegou emprestado de alguém,Sim,Sim,Adulto,Alta
37,Masculino,Branca,Divorciado,Ensino médio incompleto,Empregado (Integral),"$75,000 - $100,000",50,Sim,Sim,Sim,Comprou o livro,Não,Não,Adulto,Alta
37,Feminino,Branca,Casado,Ensino técnico,Empregado (Meio Período),"$30,000 - $40,000",50,Sim,Sim,Sim,Pegou de outra forma,Não,Sim,Adulto,Alta
36,Masculino,Branca,Casado,Ensino médio completo,Empregado (Integral),Não Informado,50,Sim,Sim,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
35,Feminino,Branca,Outros,Ensino superior completo,Empregado (Integral),"$10,000 - $20,000",50,Sim,Não,Não,Comprou o livro,Sim,Sim,Adulto,Alta
34,Feminino,Branca,Casado,Pós-graduação,Desempregado,"$30,000 - $40,000",50,Não,Não,Sim,Pegou numa biblioteca,Sim,Não,Adulto,Alta
33,Masculino,Branca,Casado,Pós-graduação,Empregado (Integral),"$100,000 - $150,000",50,Sim,Sim,Sim,Pegou numa biblioteca,Sim,Sim,Adulto,Alta
32,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Integral),"$10,000 - $20,000",50,Sim,Não,Não,Pegou numa biblioteca,Sim,Não,Adulto,Alta
30,Masculino,Branca,Solteiro,Ensino médio incompleto,Desabilitado,"$100,000 a $150,000",50,Sim,Não,Não,Pegou emprestado de alguém,Sim,Não,Adulto,Alta
29,Masculino,Branca,Casado,Ensino médio completo,Empregado (Meio Período),"$10,000 - $20,000",50,Sim,Sim,Sim,Comprou o livro,Não,Sim,Adulto,Alta
27,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$100,000 a $150,000",50,Sim,Sim,Sim,Pegou de outra forma,Sim,Não,Adulto,Alta
27,Feminino,Branca,Casado,Ensino médio completo,Desempregado,"$50,000 - $75,000",50,Sim,Não,Sim,Comprou o livro,Não,Não,Adulto,Alta
26,Feminino,Branca,Casado,Ensino médio completo,Autônomo,"$100,000 - $150,000",50,Sim,Não,Não,Comprou o livro,Sim,Não,Adulto,Alta
25,Feminino,Branca,Casado,Ensino médio completo,Empregado (Integral),"$50,000 - $75,000",50,Sim,Não,Sim,Pegou emprestado de alguém,Sim,Não,Adulto,Alta
23,Masculino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$40,000 - $50,000",50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
22,Feminino,Branca,Solteiro,Ensino superior completo,Empregado (Integral),"$100,000 a $150,000",50,Sim,Sim,Não,Pegou emprestado de alguém,Não,Não,Adulto,Alta
20,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Meio Período),"$100,000 - $150,000",50,Sim,Não,Sim,Comprou o livro,Sim,Sim,Adulto,Alta
19,Feminino,Branca,Solteiro,Ensino médio completo,Empregado (Meio Período),"$50,000 - $75,000",50,Sim,Não,Não,Pegou numa biblioteca,Não,Sim,Adulto,Alta
